event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q16205928,1966 Nigerian coup d'etat,1966,Nigeria
http://www.wikidata.org/entity/Q3560385,1966 Syrian coup d'état,1966,Syria
http://www.wikidata.org/entity/Q4560844,1920 Jabal al-Gharbi Civil War,1920,Tripolitanian Republic
http://www.wikidata.org/entity/Q15902637,First Chinese Civil War,1927,Republic of China
http://www.wikidata.org/entity/Q2119306,1947 Thai coup d'état,1947,Thailand
http://www.wikidata.org/entity/Q468823,March on Rome,1922,Kingdom of Italy
http://www.wikidata.org/entity/Q10863956,January Storm,1967,People's Republic of China
http://www.wikidata.org/entity/Q5492732,Cuban coup d'etat of 1933,1933,Cuba
http://www.wikidata.org/entity/Q1851730,May Coup,1926,Second Polish Republic
http://www.wikidata.org/entity/Q5556771,Spanish coup of March 1939,1939,Spanish Republic at War
http://www.wikidata.org/entity/Q18208081,Ecuadorian Civil War of 1932,1932,Ecuador
http://www.wikidata.org/entity/Q19839681,1966 Laotian coup,1966,Laos
http://www.wikidata.org/entity/Q643510,March 1949 Syrian coup d'état,1949,First Syrian Republic
http://www.wikidata.org/entity/Q12766987,Q12766987,1939,Autonomous Land of Slovakia
http://www.wikidata.org/entity/Q521199,North Yemen civil war,1962,Kingdom of Yemen
http://www.wikidata.org/entity/Q2633177,Japanese coup d'état in French Indochina,1945,French Indochina
http://www.wikidata.org/entity/Q15927362,Zhili–Fengtian War,1922,Republic of China
http://www.wikidata.org/entity/Q6024898,Q6024898,1944,Greece
http://www.wikidata.org/entity/Q188972,Greek Civil War,1946,Greece
http://www.wikidata.org/entity/Q2311171,Operation Panzerfaust,1944,Kingdom of Hungary
http://www.wikidata.org/entity/Q868962,Anti-Fengtian War,1925,Republic of China
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,1967,Cambodia
http://www.wikidata.org/entity/Q185407,La Violencia,1949,Colombia
http://www.wikidata.org/entity/Q521199,North Yemen civil war,1962,Yemen Republic
http://www.wikidata.org/entity/Q2379101,1947–1948 Civil War in Mandatory Palestine,1947,British Empire
http://www.wikidata.org/entity/Q10945939,Ning-Han War,1927,Republic of China
http://www.wikidata.org/entity/Q873152,July Putsch,1934,Federal State of Austria
http://www.wikidata.org/entity/Q3798246,1958 Venezuelan coup d'état,1958,Venezuela
http://www.wikidata.org/entity/Q4114551,1958 Pakistani coup d'état,1958,Pakistan
http://www.wikidata.org/entity/Q782474,Chadian Civil War of 1965–1979,1965,Chad
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,1975,Lebanon
http://www.wikidata.org/entity/Q105587935,War in Uganda (1986–1994),1986,Uganda
http://www.wikidata.org/entity/Q638767,Vatileaks scandal,2011,Vatican City
http://www.wikidata.org/entity/Q137399972,Mohawk Civil War,1989,United States
http://www.wikidata.org/entity/Q137399972,Mohawk Civil War,1989,Canada
http://www.wikidata.org/entity/Q243620,Somali Civil War,1991,Somalia
http://www.wikidata.org/entity/Q138652318,Ponta-Ţoiu scandal,2026,Romania
http://www.wikidata.org/entity/Q139236054,Ngogo chimpanzee war,2015,Uganda
http://www.wikidata.org/entity/Q138652318,Ponta-Ţoiu scandal,2026,United Arab Emirates
http://www.wikidata.org/entity/Q63121298,1977 Seychelles coup d'état,1977,Seychelles
http://www.wikidata.org/entity/Q108318672,Q108318672,1979,Chad
http://www.wikidata.org/entity/Q426722,Rwandan Civil War,1990,Rwanda
http://www.wikidata.org/entity/Q138601006,Q138601006,2023,Denmark
http://www.wikidata.org/entity/Q121366204,2022 FIFA World Cup illicit sale of semi-final tickets (Morocco),2022,Morocco
http://www.wikidata.org/entity/Q102183362,1992 Azerbaijani coup d'état,1992,Azerbaijan
http://www.wikidata.org/entity/Q123119673,Tuna bonds scandal,2013,Mozambique
http://www.wikidata.org/entity/Q110663445,January 2022 Burkina Faso coup d'état,2022,Burkina Faso
