id,label,year,country,tag,source_file
Q65041294,Eddington experiment,1919,,science,science_gap
Q2895,Byelorussian Soviet Socialist Republic,1919,Soviet Union,independence,independence_gap
Q133356,Ukrainian Soviet Socialist Republic,1919,Soviet Union,independence,independence_gap
Q131337,Azerbaijan Soviet Socialist Republic,1920,Soviet Union,independence,independence_gap
Q132856,Armenian Soviet Socialist Republic,1920,Soviet Union,independence,independence_gap
Q146562,State of Damascus,1920,French colonial empire,independence,independence_gap
Q146600,Arab Kingdom of Syria,1920,,independence,independence_gap
Q156506,Serbian-Hungarian Baranya-Baja Republic,1921,,independence,independence_gap
Q130229,Georgian Soviet Socialist Republic,1921,Soviet Union,independence,independence_gap
Q15180,Soviet Union,1922,Soviet Union,independence,independence_gap
Q124943,Kingdom of Egypt,1922,Kingdom of Egypt,independence,independence_gap
Q139708,French Mandate for Syria and the Lebanon,1923,,independence,independence_gap
Q137649300,Millikan cosmic ray experiment at Muir Lake (1925),1925,,science,science_gap
Q145,United Kingdom,1927,United Kingdom,independence,independence_gap
Q1590641,Rüchardt experiment,1929,,science,science_gap
Q191077,Kingdom of Yugoslavia,1929,,independence,independence_gap
Q178038,Second Spanish Republic,1931,Spain,independence,independence_gap
Q1616753,Brocken Experiment,1932,,science,science_gap
Q7318,Nazi Germany,1933,German Reich,independence,independence_gap
Q176495,Federal State of Austria,1934,,independence,independence_gap
Q138251,Asturian Peasants' and Workers' Republic,1934,,independence,independence_gap
Q146328,Commonwealth of the Philippines,1935,,independence,independence_gap
Q168811,Kazakh Soviet Socialist Republic,1936,Soviet Union,independence,independence_gap
Q27,Ireland,1937,Ireland,independence,independence_gap
Q116080,Polish Underground State,1939,,independence,independence_gap
Q54974569,Bruno Rossi and David B. Hall experiment,1940,,science,science_gap
Q130280,Estonian Soviet Socialist Republic,1940,Soviet Union,independence,independence_gap
Q189,Iceland,1944,Iceland,independence,independence_gap
Q252,Indonesia,1945,Indonesia,independence,independence_gap
Q172640,North Vietnam,1945,Vietnam,independence,independence_gap
Q28225391,Moon radar experiment,1946,Hungary,science,science_gap
Q121932,People's Republic of Bulgaria,1946,Bulgaria,independence,independence_gap
Q17,Japan,1947,Japan,independence,independence_gap
