event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q127751,Wars of the Roses,1500,Kingdom of England
http://www.wikidata.org/entity/Q431806,Arauco War,1546,Chile
http://www.wikidata.org/entity/Q178510,Battle of Mohács,1526,Kingdom of Hungary
http://www.wikidata.org/entity/Q326417,Battle of Marston Moor,1644,United Kingdom
http://www.wikidata.org/entity/Q497806,Battle of Ergeme,1560,Latvia
http://www.wikidata.org/entity/Q491997,Battle of Macroom,1650,Kingdom of Ireland
http://www.wikidata.org/entity/Q492006,Battle of Julianstown,1641,Kingdom of Ireland
http://www.wikidata.org/entity/Q279250,Battle of Baçente,1542,Ethiopian Empire
http://www.wikidata.org/entity/Q428369,Battle of Nagashino,1575,Japan
http://www.wikidata.org/entity/Q497787,Battle of Liscarroll,1642,Kingdom of Ireland
http://www.wikidata.org/entity/Q234188,Battle of Sekigahara,1600,Japan
http://www.wikidata.org/entity/Q477592,Battle of Drakenburg,1547,Germany
http://www.wikidata.org/entity/Q474399,Battle of Affane,1565,Kingdom of Ireland
http://www.wikidata.org/entity/Q484029,Battle of Byeokjegwan,1593,Joseon
http://www.wikidata.org/entity/Q245811,Battle of Chemnitz,1639,Holy Roman Empire
http://www.wikidata.org/entity/Q225562,Battle of Shizugatake,1583,Japan
http://www.wikidata.org/entity/Q522168,Battle of Benburb,1646,Kingdom of Ireland
http://www.wikidata.org/entity/Q517486,Battle of Zenta,1697,Kingdom of Hungary
http://www.wikidata.org/entity/Q505699,Battle of Heiligerlee,1568,Spanish Netherlands
http://www.wikidata.org/entity/Q349422,Battle of Okehazama,1560,Japan
http://www.wikidata.org/entity/Q688448,Battle of Hohenfriedberg,1745,Poland
http://www.wikidata.org/entity/Q658845,Battle of Wandiwash,1760,India
http://www.wikidata.org/entity/Q695485,Battle of Jumonville Glen,1754,Thirteen Colonies
http://www.wikidata.org/entity/Q693282,Siege of Turin,1706,Italy
http://www.wikidata.org/entity/Q688802,Battle of Torgau,1760,Germany
http://www.wikidata.org/entity/Q701139,Battle of Liegnitz,1760,Poland
http://www.wikidata.org/entity/Q688802,Battle of Torgau,1760,Prussia
http://www.wikidata.org/entity/Q685798,Battle of Winterthur,1799,Switzerland
http://www.wikidata.org/entity/Q689183,Battle of Sainte-Foy,1760,New France
http://www.wikidata.org/entity/Q689471,Battle of Albuera,1811,Kingdom of Spain
http://www.wikidata.org/entity/Q696699,Battle of Lauffeld,1747,Belgium
http://www.wikidata.org/entity/Q696689,Battle of Gross-Jägersdorf,1757,Russia
http://www.wikidata.org/entity/Q696945,Battle of Schellenberg,1704,Germany
http://www.wikidata.org/entity/Q697034,Battle of Amstetten,1805,Austria
http://www.wikidata.org/entity/Q704567,Battle of Gemauerthof,1705,Latvia
http://www.wikidata.org/entity/Q690391,Battle of Petrovaradin,1716,Serbia
http://www.wikidata.org/entity/Q697267,Battle of Almenar,1710,Spain
http://www.wikidata.org/entity/Q656522,Battle of Condore,1758,France
http://www.wikidata.org/entity/Q678227,Battle of Fleurus,1794,Belgium
http://www.wikidata.org/entity/Q704762,Battle of Klissow,1702,Poland
http://www.wikidata.org/entity/Q692074,Battle of Ivankovac,1805,Serbia
http://www.wikidata.org/entity/Q682729,First Battle of Höchstädt,1703,Germany
http://www.wikidata.org/entity/Q688978,Battle of Cremona,1702,Italy
http://www.wikidata.org/entity/Q697913,Battle of Landeshut,1760,Poland
http://www.wikidata.org/entity/Q663574,Battle of Ticonderoga,1759,Thirteen Colonies
http://www.wikidata.org/entity/Q692137,Landing at Kip's Bay,1776,United States
http://www.wikidata.org/entity/Q693265,Battle of Assietta,1747,Italy
http://www.wikidata.org/entity/Q697982,Battle of Burkersdorf,1762,Poland
http://www.wikidata.org/entity/Q668595,Battle of Harlem Heights,1776,United States
http://www.wikidata.org/entity/Q695312,Battle of Breslau,1757,Poland
http://www.wikidata.org/entity/Q657406,Battle of Hennersdorf,1745,Poland
http://www.wikidata.org/entity/Q697897,Battle of Carillon,1758,Thirteen Colonies
http://www.wikidata.org/entity/Q657502,Battle of Elchingen,1805,Germany
http://www.wikidata.org/entity/Q677892,Battle of Freiberg,1762,Germany
http://www.wikidata.org/entity/Q677959,Battle of Hastenbeck,1757,Germany
http://www.wikidata.org/entity/Q699665,Battle of Dürenstein,1805,Austria
http://www.wikidata.org/entity/Q700316,Battle of Luzzara,1702,Italy
http://www.wikidata.org/entity/Q694122,Battle of Napue,1714,Sweden
http://www.wikidata.org/entity/Q694068,Battle of Fraustadt,1706,Poland
http://www.wikidata.org/entity/Q694061,Battle of Reichenberg,1757,Kingdom of Bohemia
http://www.wikidata.org/entity/Q705409,Battle of Helsingborg,1710,Sweden
http://www.wikidata.org/entity/Q656046,Battle of San Juan,1797,United States
http://www.wikidata.org/entity/Q688986,Battle of Hoyerswerda,1759,Germany
http://www.wikidata.org/entity/Q698166,Battle of Calcinato,1706,Italy
http://www.wikidata.org/entity/Q694883,Battle of Erastfer,1702,Estonia
http://www.wikidata.org/entity/Q686995,Battle of Le Mans,1793,France
http://www.wikidata.org/entity/Q663405,Battle of Zorndorf,1758,Poland
http://www.wikidata.org/entity/Q701808,Battle of Castiglione,1706,Italy
http://www.wikidata.org/entity/Q663450,Battle of Krefeld,1758,Germany
http://www.wikidata.org/entity/Q663435,Battle of Mollwitz,1741,Poland
http://www.wikidata.org/entity/Q482456,Fall of Saigon,1975,Vietnam
http://www.wikidata.org/entity/Q692885,Operation Ivory Coast,1970,Vietnam
http://www.wikidata.org/entity/Q493122,Battle of Sangju,1950,South Korea
http://www.wikidata.org/entity/Q349968,Zawiya skirmish,2011,Libya
http://www.wikidata.org/entity/Q277176,Nafusa Mountains campaign,2011,Libya
http://www.wikidata.org/entity/Q642100,Operation Steel Curtain,2005,Iraq
http://www.wikidata.org/entity/Q697053,Battle of Hue,1968,Vietnam
http://www.wikidata.org/entity/Q267418,Uzbin Valley ambush,2008,Afghanistan
http://www.wikidata.org/entity/Q83002,First Battle of al-Faw,1986,Iraq
http://www.wikidata.org/entity/Q82995,Operation Ramadan ul-Mubarak,1988,Iraq
http://www.wikidata.org/entity/Q487431,Battle of Tra Binh Dong,1967,Vietnam
http://www.wikidata.org/entity/Q743358,Battle of Latakia,1973,Syria
http://www.wikidata.org/entity/Q588774,Battle of Dong Xoai,1965,Vietnam
http://www.wikidata.org/entity/Q404517,Kargil War,1999,Pakistan
http://www.wikidata.org/entity/Q404517,Kargil War,1999,India
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War,1989,Vietnam
http://www.wikidata.org/entity/Q220388,Operation Dawn of Gulf of Aden,2011,Somalia
http://www.wikidata.org/entity/Q698771,Operation Atalanta,2008,Somalia
http://www.wikidata.org/entity/Q568992,Operation Bøllebank,1994,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q654777,1973 Israeli raid on Lebanon,1973,Lebanon
http://www.wikidata.org/entity/Q720348,Battle of Ras al-Ayn,2012,Syria
http://www.wikidata.org/entity/Q673626,Operation Simoom,1990,Poland
http://www.wikidata.org/entity/Q624064,Battle of Uijeongbu,1950,South Korea
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War,1989,Democratic Kampuchea
http://www.wikidata.org/entity/Q460844,Unified Task Force,1992,Somalia
http://www.wikidata.org/entity/Q259526,Battle of Long Tan,1966,Vietnam
http://www.wikidata.org/entity/Q179275,insurgency in Khyber Pakhtunkhwa,2004,Pakistan
http://www.wikidata.org/entity/Q599202,Operation Baja California,2007,Mexico
http://www.wikidata.org/entity/Q652284,1982 Ethiopian–Somali Border War,1982,Somalia
http://www.wikidata.org/entity/Q550500,Battle of Nam Dong,1964,Vietnam
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War,1989,People's Republic of Kampuchea
http://www.wikidata.org/entity/Q630757,Battle of Douma,2012,Syria
http://www.wikidata.org/entity/Q542401,Angoor Ada raid,2008,Afghanistan
http://www.wikidata.org/entity/Q493131,Battle of Pyongtaek,1950,South Korea
http://www.wikidata.org/entity/Q81889,Operation Chameleon,2010,Colombia
http://www.wikidata.org/entity/Q281145,Battle of Firebase Anaconda,2007,Afghanistan
http://www.wikidata.org/entity/Q477040,Operation Swarmer,2006,Iraq
http://www.wikidata.org/entity/Q484494,Battle of Osan,1950,South Korea
http://www.wikidata.org/entity/Q545547,Battle of Beledweyne,2006,Somalia
http://www.wikidata.org/entity/Q543202,Battle of Tremseh,2012,Syria
http://www.wikidata.org/entity/Q493252,Battle of Chonan,1950,South Korea
http://www.wikidata.org/entity/Q179275,insurgency in Khyber Pakhtunkhwa,2004,Islamic Emirate of Waziristan
