id,label,year,country,tag,source_file
Q136772871,Étude notariale VIII (Paris ; 1465-....),1465,France,empire,Treaties.csv
Q136772888,Étude notariale XIX (Paris ; 1465-....),1465,France,empire,Treaties.csv
Q532899,Battle of Molinella,1467,Italy,war,WarsRecord.csv
Q387238,Battle of Tlatelolco,1473,Mexico,war,WarsRecord.csv
Q163959,Battle of Héricourt,1474,Kingdom of France,war,WarsRecord.csv
Q153978,University of Tübingen,1477,Germany,empire,Treaties.csv
Q472614,Battle of Giornico,1478,Switzerland,war,WarsRecord.csv
Q186285,University of Copenhagen,1479,Denmark,empire,Treaties.csv
Q136772904,Étude notariale XX (Paris ; 1480-....),1480,France,empire,Treaties.csv
Q222013,Battle of Bosworth Field,1485,Kingdom of England,war,WarsRecord.csv
Q431122,Yeomen of the Guard,1485,United Kingdom,empire,Treaties.csv
Q670094,Battle of Crevola,1487,Italy,war,WarsRecord.csv
Q221474,first arrival of Christopher Columbus to America,1492,,technology,Inventions.csv
Q66747128,Columbus explores Rum Cay Bahamas,1492,,technology,Inventions.csv
Q66747509,Columbus explores Crooked Island,1492,,technology,Inventions.csv
Q951383,The Portuguese discovery of the sea route to India,1498,India,technology,Inventions.csv
Q136772895,Étude notariale XLIX (Paris ; 1498-....),1498,France,empire,Treaties.csv
Q136772897,Étude notariale XLVI (Paris ; 1498-....),1498,France,empire,Treaties.csv
Q136772917,Étude notariale XXXIII (Paris ; 1498-....),1498,France,empire,Treaties.csv
Q251597,Battle of Dornach,1499,Switzerland,war,WarsRecord.csv
Q165136,Swabian War,1499,Switzerland,war,WarsRecord.csv
Q127751,Wars of the Roses,1500,Kingdom of England,war,WarsRecord.csv
Q3042917,discovery of Brazil,1500,France,technology,Inventions.csv
Q473669,Battle of Lake Smolina,1502,Russia,war,WarsRecord.csv
Q7109927,Ottoman Civil War of 1509–13,1509,Ottoman Empire,revolution,Coups.csv
Q151663,Revolt of the Comuneros,1520,Crown of Castile,war,WarsRecord.csv
Q569485,Knights' War,1522,Holy Roman Empire,revolution,Coups.csv
Q16418251,Safavid Civil War,1524,Safavid Iran,revolution,Coups.csv
Q178510,Battle of Mohács,1526,Kingdom of Hungary,war,WarsRecord.csv
Q261872,Battle of Tarcal,1527,Hungary,war,WarsRecord.csv
Q203366,Battle of Gubel,1531,Switzerland,war,WarsRecord.csv
Q5364397,Moriyama Kuzure,1536,Japan,culture,Disasters.csv
Q283288,Battle of Abancay,1537,Peru,war,WarsRecord.csv
Q5887915,Civil Wars between the conquerors of Peru,1537,Spanish Empire,revolution,Coups.csv
Q279250,Battle of Baçente,1542,Ethiopian Empire,war,WarsRecord.csv
Q431806,Arauco War,1546,Chile,war,WarsRecord.csv
Q477592,Battle of Drakenburg,1547,Germany,war,WarsRecord.csv
Q233414,Battle of Panipat,1556,India,war,WarsRecord.csv
Q11872032,Koadjutore war,1556,Livonian confederation,revolution,Coups.csv
Q10711982,Vadstena Rumble,1559,Sweden,revolution,Coups.csv
Q497806,Battle of Ergeme,1560,Latvia,war,WarsRecord.csv
Q349422,Battle of Okehazama,1560,Japan,war,WarsRecord.csv
Q263799,Battle of Mared,1563,Sweden,war,WarsRecord.csv
Q474399,Battle of Affane,1565,Kingdom of Ireland,war,WarsRecord.csv
